StationID,SampleID,Date,HYL11,HYL2,HYL21,HYL2B,HYL31,HYL4,HYL52,HYL71,HYL8,HYL9,L11K2,L2K2,L21K2,L2BK2,L31K2,L4K2,L52K2,L71K2,L8K2,L9K2,Bird,Dog,Horse,Animal,Pig,Ruminant,Human,Nonhuman,Prep0_mm,Prep1_mm,Prep2_mm,Temp0_c,Temp1_c,Temp2_c,Elv,Flowacc,Season2,DateID,Label
1,1,12/9/2011,0.0015,0.0956,0.0555,0.0401,0,0.0041,0.0307,0.864,0,0.0042,0.0001,0.397,0.1501,0.2469,0.0007,0.0018,0.0093,0.5351,0.0535,0.0024,0.01,0,0,0,0,0,0.02,0.01,0,0,0,7.33,7.5,7.33,30,568.6,1,10,1
1,2,1/21/2012,0.0015,0.0956,0.0555,0.0401,0,0.0041,0.0307,0.864,0,0.0042,0.0001,0.397,0.1501,0.2469,0.0007,0.0018,0.0093,0.5351,0.0535,0.0024,0,0,0.02,0.15,0.02,0.11,0.03,0.15,72.64,33.53,0,10.89,7.78,6,30,568.6,2,12,0
2,3,12/9/2011,0.0004,0.4344,0.1233,0.3111,0,0.1205,0.08,0.3126,0.0454,0.0067,0,0.8524,0.1563,0.6961,0,0.0004,0.0012,0.1212,0.0239,0.0007,0,0,0,0,0,0,0.01,0,0,0,0,7.28,7.22,7.33,30,17.5,1,10,1
2,4,1/21/2012,0.0004,0.4344,0.1233,0.3111,0,0.1205,0.08,0.3126,0.0454,0.0067,0,0.8524,0.1563,0.6961,0,0.0004,0.0012,0.1212,0.0239,0.0007,0,0.03,0,0.13,0,0.1,0.01,0.13,68.07,27.69,0,11.06,7.72,5.89,30,17.5,2,12,0
3,5,12/9/2011,0.001,0.125,0.0921,0.0329,0,0.0176,0.0817,0.7552,0,0.0194,0.0109,0.2019,0.1309,0.071,0.0011,0.0059,0.0229,0.499,0.2263,0.032,0.01,0,0.01,0.03,0.01,0.01,0.04,0.04,0,0,0,7.33,7.5,7.33,32,305.06,1,10,0
3,6,1/21/2012,0.001,0.125,0.0921,0.0329,0,0.0176,0.0817,0.7552,0,0.0194,0.0109,0.2019,0.1309,0.071,0.0011,0.0059,0.0229,0.499,0.2263,0.032,0.01,0,0.02,0.2,0.01,0.17,0.02,0.21,72.64,33.53,0,10.89,7.78,6,32,305.06,2,12,0
4,7,1/21/2012,0.0025,0.0693,0.0593,0.01,0,0.0744,0.155,0.6168,0.0766,0.0054,0.0004,0.6795,0.1715,0.508,0,0.0021,0.0019,0.1242,0.1832,0.0088,0,0,0.01,0.06,0,0.05,0.02,0.06,74.42,21.08,0,10.94,7.56,6.11,35,0.39,2,12,0
4,8,3/5/2012,0.0025,0.0693,0.0593,0.01,0,0.0744,0.155,0.6168,0.0766,0.0054,0.0004,0.6795,0.1715,0.508,0,0.0021,0.0019,0.1242,0.1832,0.0088,0.01,0,0,0.02,0.01,0.01,0.02,0.03,0,0,0,13.72,12.39,10.61,35,0.39,1,14,0
5,9,12/9/2011,0,0.0902,0.0725,0.0177,0,0.0494,0.1526,0.6846,0,0.0232,0.0269,0.2592,0.1589,0.1003,0.0029,0.0115,0.0496,0.4502,0.1501,0.0497,0,0,0,0,0,0,0.01,0,0,0.25,0,7.5,7.72,7.61,26,12.5,1,10,1
5,10,1/21/2012,0,0.0902,0.0725,0.0177,0,0.0494,0.1526,0.6846,0,0.0232,0.0269,0.2592,0.1589,0.1003,0.0029,0.0115,0.0496,0.4502,0.1501,0.0497,0,0,0,0.17,0,0.17,0.03,0.17,77.98,37.59,0,10.61,7.78,6.11,26,12.5,2,12,0
6,11,8/18/2011,0.0019,0.5147,0.1857,0.329,0,0.0072,0.0118,0.1443,0.3127,0.0076,0.0031,0.4152,0.1771,0.2381,0,0.0185,0.0286,0.182,0.328,0.0247,0.01,0,0,0,0,0,0.01,0.01,0,0,0,18.83,19.94,18.94,20,12.18,1,2,0
6,12,10/5/2011,0.0019,0.5147,0.1857,0.329,0,0.0072,0.0118,0.1443,0.3127,0.0076,0.0031,0.4152,0.1771,0.2381,0,0.0185,0.0286,0.182,0.328,0.0247,0.01,0,0,0,0,0,0.03,0.01,25.91,21.08,0,14.33,13.61,17.17,20,12.18,2,8,1
